"longitude","latitude","seasonal_low_temp"
0.5,89.5,-1.79948713926551
0.5,88.5,-1.79948713926551
0.5,87.5,-1.79153842149446
0.5,86.5,-1.79897431876415
0.5,85.5,-1.79948713926551
0.5,84.5,-1.79948713926551
0.5,83.5,-1.79948713926551
0.5,82.5,-1.79948713926551
0.5,81.5,-1.69205124423099
0.5,80.5,-1.18615381964124
0.5,79.5,-0.39564101679776
0.5,78.5,0.387948709277388
0.5,77.5,0.806666648636262
0.5,76.5,0.643846139455071
0.5,75.5,-0.196666662270824
0.5,74.5,-0.188717944499774
0.5,73.5,0.605384601853215
0.5,72.5,1.86769226594613
0.5,71.5,3.05897429060095
0.5,70.5,4.27384605831825
0.5,69.5,5.14384603887223
0.5,68.5,5.48051269801381
0.5,67.5,5.20641014003792
0.5,66.5,5.29512808677287
0.5,65.5,5.6861537190584
0.5,64.5,6.25794857807266
0.5,63.5,6.92923061435039
0.5,62.5,7.49871778110854
0.5,61.5,7.7658972623161
0.5,60.5,7.69025623836578
0.5,59.5,7.38948701431927
0.5,58.5,7.07666650849084
0.5,57.5,6.83282036009507
0.5,56.5,6.65589728712654
0.5,55.5,6.41512806173892
0.5,54.5,6.23948704002377
0.5,53.5,6.19846139991513
0.5,51.5,7.70564085340653
0.5,50.5,8.01051264146391
0.5,49.5,8.15384597159349
0.5,40.5,13.6848714889911
0.5,39.5,13.8587176389515
0.5,38.5,14.3179483979176
0.5,37.5,14.8141022329816
0.5,36.5,15.1246150465539
0.5,5.5,24.313332789888
0.5,4.5,24.7956404714153
0.5,3.5,25.4338455853554
0.5,2.5,25.9174353181361
0.5,1.5,25.9592301889967
0.5,0.5,25.3794866122114
0.5,-0.5,24.4010250956202
0.5,-1.5,23.5697430629188
0.5,-2.5,23.09820461192
0.5,-3.5,22.9623071790601
0.5,-4.5,23.0297430749887
0.5,-5.5,23.0161533317027
0.5,-6.5,22.84897384826
0.5,-7.5,22.55820462399
0.5,-8.5,22.2128200163253
0.5,-9.5,21.9487174581259
0.5,-10.5,21.64820464433
0.5,-11.5,21.2435892687585
0.5,-12.5,20.6912815887959
0.5,-13.5,20.1848713437048
0.5,-14.5,19.7584995583631
0.5,-15.5,19.433249565633
0.5,-16.5,19.1842495711986
0.5,-17.5,19.1137495727744
0.5,-18.5,19.1259995725006
0.5,-19.5,19.1314995723777
0.5,-20.5,19.0533329074581
0.5,-21.5,19.0069226520852
0.5,-22.5,18.9515380379386
0.5,-23.5,18.8469226556615
0.5,-24.5,18.6853841977337
0.5,-25.5,18.5079483042638
0.5,-26.5,18.3092303599876
0.5,-27.5,18.0720508781095
0.5,-28.5,17.7612816542865
0.5,-29.5,17.4715380710191
0.5,-30.5,17.1799996159971
